code,constituency,region,usual_residents,male_no,male_per,female_no,female_per,livinginhousehold_no,livinginhousehold_per,livingcommunally_no,livingcommunally_per,density,age0to4,age0to4_per,age5to7,age5to7_per,age8to9,age8to9_per,age10to14,age10to14_per,age15,age15_per,age16to17,age16to17_per,age18to19,age18to19_per,age20to24,age20to24_per,age25to29,age25to29_per,age30to44,age30to44_per,age45to59,age45to59_per,age60to64,age60to64_per,age65to74,age65to74_per,age75to84,age75to84_per,age85to89,age85to89_per,age90andover,age90andover_per,meanage,medianage,noqualifications,level1qualifications,level2qualifications,apprenticeship,level3qualifications,level4qualificationsandabove,otherqualifications,ab,c1,c2,de,birth_uk_no,birth_uk_per,birth_ireland_no,birth_ireland_per,birth_eu_no,birth_eu_per,birth_noneuno,birth_noneu_per,ethn_white_no,ethn_white_pre,ethn_mixed_no,ethn_mixed_pre,ethn_asian_no,ethn_asian_per,ethn_black_no,ethn_black_pre,ethn_other_no,ethn_other_pre,religion_total_no,religion_total_per,christian_no,christian_per,buddhist_no,buddhist_per,hindu_no,hindu_per,jewish_no,jewish_per,muslim_no,muslin_per,sikh_no,sikh_per,other_rel_no,other_rel_per,no_rel_no,no_rel_per,rel_dk_no,rel_dk_per,mainlang_english,notenglish_speakverywell,notenglish_speakwell,notenglish_speakwell_vwell,notenglish_notspeakwell,notenglish_notspeak,mar_single_no,mar_single_per,mar_married_no,mar_married_per,mar_civilpartnership_no,mar_civilpartnership_per,mar_separated_no,mar_separated_per,mar_divorced,mar_divorced_per,mar_widowed_no,mar_widowed_per,livingincouple_no,livingincouple_per,livingalone_no,livingalone_per,verygoodhealth,goodhealth,fairhealth,badhealth,verybadhealth,disabilitybenefit_anydisabling,incomesupport_peopleclaimingb,incomesupport_averageweeklypa,jsa_total,total_esa,incapacity_peopleclaimingbenef,incapacity_averageweeklypaymen,uc_notinemploymentmarch17,uc_inemploymentmarch17,uc_totalmarch17,housingbenefit_meanofweeklya,housingbenefitclaimantsnov1,agricultureforestryfishing,miningquarryingutilitiesb,manufacturingc_per,constructionf_per,motortradespartg_per,wholesalepartg_per,retailpartg_per,transportstorageincpostal,accommodationfoodservicesi,informationcommunicationj_,financialinsurancek_per,propertyl_per,professionalscientifictechn,businessadministrationsuppor,publicadministrationdefence,educationp_per,healthq_per,artsentertainmentrecreation,totalemployees,employees_pub,employees_priv,numberofjobs,medianannualgrosspay,annualpercentagechangemedia,meanannualgrosspay,annualpercentagechangemean,cmdi,cmdid
W07000049,Aberavon,Wales,66133,32251,48.799999,33882,51.200001,65662,99.300003,471,0.69999999,3.8,3645,5.5,2091,3.2,1323,2,3803,5.8000002,818,1.2,1775,2.7,1502,2.3,3975,6,4325,6.5,12653,19.1,13815,20.9,4295,6.5,6306,9.5,4147,6.3000002,1107,1.7,553,0.80000001,41,41,17938,8154,8594,2765,5798,9048,2156,2279,5195,5026,7793,64237,97.099998,244,0.40000001,536,0.80000001,1116,1.7,64537,97.599998,485,0.69999999,827,1.3,196,0.30000001,88,0.1,38489,58.200001,37579,56.799999,150,0.2,84,0.1,19,0,376,0.60000002,54,0.1,227,0.30000001,22938,34.700001,4706,7.0999999,63216,294,269,,125,31,17732,32.599998,24890,45.700001,106,0.2,1229,2.3,5904,10.8,4592,8.3999996,30638,56.799999,23346,43.200001,29464,18702,10698,5489,1780,5650,1310,72.190002,660,5190,280,87.010002,447,269,720,78.980003,6860,0,3.2,25.6,5.5999999,1.3,2.2,9.6000004,4,4.8000002,0.80000001,0.40000001,1.9,4,4.8000002,8,8,14.4,3.2,31285,6818,24467,24000,20001,-2.0999999,23108,-1.5,649.82159,3.9053876
W07000058,Aberconwy,Wales,56415,27268,48.299999,29147,51.700001,55058,97.599998,1357,2.4000001,0.89999998,2796,5,1558,2.8,1003,1.8,3089,5.5,634,1.1,1383,2.5,1212,2.0999999,2899,5.0999999,2668,4.6999998,9516,16.9,11557,20.5,4435,7.9000001,6773,12,4900,8.6999998,1319,2.3,673,1.2,44.599998,46,11215,6213,7748,1865,5272,12843,2179,3157,4783,3921,4469,53839,95.400002,418,0.69999999,969,1.7,1189,2.0999999,55195,97.800003,474,0.80000001,496,0.89999998,97,0.2,153,0.30000001,37123,65.800003,36363,64.5,192,0.30000001,72,0.1,35,0.1,230,0.40000001,2,0,229,0.40000001,14883,26.4,4409,7.8000002,53709,414,415,,160,31,14002,29.6,22564,47.700001,105,0.2,1044,2.2,5110,10.8,4510,9.5,26925,58.400002,19160,41.599998,26285,18403,8346,2640,741,2040,520,73.139999,400,2280,120,87.629997,276,164,439,81.160004,3730,0.2,1.9,2.0999999,4.1999998,2.9000001,1.7,14.5,2.9000001,18.700001,1,1.2,1.2,5.1999998,3.7,5.1999998,10.4,12.5,8.3000002,24071,6167,17904,,,,24366,6.5,1151.0194,6.5293803
E14000530,Aldershot,South East,103922,51856,49.900002,52066,50.099998,101893,98,2029,2,19.6,7315,7,3942,3.8,2245,2.2,6038,5.8000002,1329,1.3,2760,2.7,2498,2.4000001,7277,7,7875,7.5999999,24616,23.700001,19531,18.799999,5318,5.0999999,7304,7,4156,4,1116,1.1,602,0.60000002,37,36,15374,13587,14238,3092,10396,20757,5609,7335,10799,7432,6271,86364,83.099998,694,0.69999999,3854,3.7,13010,12.5,88888,85.5,2218,2.0999999,10157,9.8000002,2005,1.9,654,0.60000002,69086,66.5,60422,58.099998,3186,3.0999999,3352,3.2,72,0.1,1436,1.4,211,0.2,407,0.40000001,27577,26.5,7259,7,89336,4270,4075,,1337,432,27054,32.599998,41577,50.099998,159,0.2,2323,2.8,7521,9.1000004,4419,5.3000002,49965,61.700001,31064,38.299999,51994,37047,11165,2883,833,3160,730,70.639999,450,2800,110,84.660004,173,137,315,110.13,6568,0,0.80000001,6.5999999,3.3,2.8,3.3,7.5,3.3,8.5,13.2,4.1999998,1.9,11.3,11.3,2.4000001,8.5,7.5,3.3,53112,4305,48807,44000,25387,2.9000001,30631,9.1999998,21143.367,7.0007348
E14000531,Aldridge-Brownhills,West Midlands,76974,37663,48.900002,39311,51.099998,76532,99.400002,442,0.60000002,17.5,3992,5.1999998,2463,3.2,1609,2.0999999,4587,6,969,1.3,1994,2.5999999,1718,2.2,3921,5.0999999,3881,5,14380,18.700001,15651,20.299999,5168,6.6999998,9045,11.8,5706,7.4000001,1309,1.7,581,0.80000001,42.599998,44,18660,8869,10120,2429,7400,13006,2870,4243,6487,5631,5006,73989,96.099998,397,0.5,618,0.80000001,1970,2.5999999,71685,93.099998,1195,1.6,3107,4,747,1,240,0.30000001,57093,74.199997,54016,70.199997,149,0.2,544,0.69999999,28,0,556,0.69999999,1570,2,230,0.30000001,15181,19.700001,4700,6.0999999,73277,575,413,,270,83,17657,27.9,33497,52.900002,72,0.1,1371,2.2,5324,8.3999996,5433,8.6000004,39782,63.200001,23141,36.799999,32856,27503,11750,3755,1110,3320,780,71.93,460,2310,160,86.379997,309,168,477,84.209999,4278,0,1.5,18.700001,9.3999996,1.7,6.1999998,7.3000002,6.1999998,5.1999998,0.80000001,0.80000001,1,6.1999998,12.5,1.9,10.4,7.3000002,2.9000001,24034,3373,20661,27000,21518,1.8,24199,-1.1,18623.342,6.1196117
E14000532,Altrincham & Sale West,North West,96591,47239,48.900002,49352,51.099998,95968,99.400002,623,0.60000002,18.700001,6091,6.3000002,3622,3.7,2410,2.5,6113,6.3000002,1219,1.3,2590,2.7,1882,1.9,4336,4.5,5236,5.4000001,20636,21.4,20112,20.799999,5741,5.9000001,8481,8.8000002,5735,5.9000001,1579,1.6,808,0.80000001,40.099998,41,11716,8545,11753,2404,8770,31121,2827,11328,9090,4307,4278,87401,90.5,1262,1.3,2242,2.3,5686,5.9000001,87351,90.400002,2058,2.0999999,5399,5.5999999,943,1,840,0.89999998,70319,72.800003,63044,65.300003,328,0.30000001,1251,1.3,2215,2.3,3028,3.0999999,255,0.30000001,198,0.2,20050,20.799999,6222,6.4000001,89192,1985,1320,,437,75,22918,29.700001,40844,53,169,0.2,1611,2.0999999,6180,8,5414,7,48182,63,28332,37,52489,29621,10478,3126,877,2920,450,68.309998,380,2180,130,85.769997,350,287,637,92.989998,3801,0.1,0.30000001,4.5999999,4.5999999,0.89999998,2.9000001,9.1999998,1.8,5.8000002,6.9000001,4.5999999,2.9000001,20.700001,10.4,1.2,6.9000001,8.1000004,5.1999998,43380,3024,40356,35000,30793,10.1,40335,10.3,26014.824,8.3343801
W07000043,Alyn & Deeside,Wales,82505,40824,49.5,41681,50.5,82120,99.5,385,0.5,5.3000002,5255,6.4000001,2812,3.4000001,1793,2.2,4858,5.9000001,1045,1.3,2212,2.7,1967,2.4000001,5125,6.1999998,5004,6.0999999,16909,20.5,16361,19.799999,5479,6.5999999,7772,9.3999996,4277,5.1999998,1042,1.3,594,0.69999999,39.700001,40,15103,10614,11874,3439,8505,14192,3015,4402,7120,6405,7330,78595,95.300003,351,0.40000001,2169,2.5999999,1390,1.7,81034,98.199997,517,0.60000002,796,1,79,0.1,79,0.1,54932,66.599998,54099,65.599998,178,0.2,126,0.2,36,0,296,0.40000001,11,0,186,0.2,21689,26.299999,5884,7.0999999,77396,556,779,,542,97,20839,31.200001,33155,49.700001,83,0.1,1522,2.3,6522,9.8000002,4621,6.9000001,40708,61.299999,25657,38.700001,40414,27057,10624,3463,947,3780,780,71.730003,410,2810,160,85.519997,469,288,759,80.18,4560,0.1,2.2,35.099998,4.4000001,2.2,4.4000001,7.6999998,4.4000001,3.3,0.89999998,0.89999998,0.69999999,8.8000002,9.8999996,1.5,5.5,4.9000001,1.8,45580,3182,42397,33000,22163,5.8000002,24598,3.5,1184.1475,6.6762013
E14000533,Amber Valley,East Midlands,87883,43253,49.200001,44630,50.799999,87105,99.099998,778,0.89999998,7.0999999,4752,5.4000001,2701,3.0999999,1855,2.0999999,5049,5.6999998,1024,1.2,2206,2.5,1957,2.2,4852,5.5,4981,5.6999998,17626,20.1,18416,21,6522,7.4000001,8868,10.1,4970,5.6999998,1380,1.6,724,0.80000001,41.5,42,21508,10756,11534,3449,8702,13576,2977,4453,7200,7141,8465,85514,97.300003,209,0.2,1107,1.3,1053,1.2,86467,98.400002,580,0.69999999,589,0.69999999,176,0.2,71,0.1,53708,61.099998,52744,60,149,0.2,105,0.1,46,0.1,142,0.2,131,0.1,391,0.40000001,27873,31.700001,6302,7.1999998,84006,360,401,,200,43,21769,30,35634,49.099998,183,0.30000001,1740,2.4000001,7466,10.3,5710,7.9000001,45386,63.299999,26338,36.700001,37275,31070,13865,4473,1200,4440,1030,71.43,570,3670,170,85.910004,284,188,474,83.050003,5904,0.1,1.3,28.299999,7.6999998,1.8,3.2,9,6.4000001,4.5,1.2,0.60000002,1.5,3.9000001,5.0999999,6.4000001,7.6999998,7.6999998,3.2,38851,6678,32173,32000,22406,7.8000002,24955,5.9000001,15313.522,5.1647906
W07000057,Arfon,Wales,60573,29713,49.099998,30860,50.900002,57490,94.900002,3083,5.0999999,1.5,3620,6,1953,3.2,1229,2,3329,5.5,658,1.1,1398,2.3,2994,4.9000001,6841,11.3,3674,6.0999999,11006,18.200001,10691,17.6,3534,5.8000002,5091,8.3999996,3237,5.3000002,856,1.4,462,0.80000001,38.200001,37,10446,5298,7256,1685,9013,13887,2199,3424,5738,3864,4621,56454,93.199997,291,0.5,1014,1.7,2814,4.5999999,57156,94.400002,597,1,1862,3.0999999,211,0.30000001,747,1.2,35678,58.900002,33694,55.599998,244,0.40000001,199,0.30000001,33,0.1,1173,1.9,26,0,309,0.5,19678,32.5,5217,8.6000004,56051,948,1054,,320,54,21494,43.200001,19624,39.400002,54,0.1,844,1.7,4212,8.5,3556,7.0999999,24590,52.700001,22113,47.299999,32204,17900,7364,2377,728,2150,630,70.599998,640,2310,110,84.470001,326,164,497,73.68,4112,0.2,3.2,5.5999999,3.2,1.6,1.4,11.3,2.9000001,6.4000001,2.5999999,1.9,1.6,4,1.9,9.6000004,16.1,22.5,4,31098,10168,20930,20000,18223,-8,23250,-3.2,1076.4233,6.1429753
E14000534,Arundel & South Downs,South East,97267,46690,48,50577,52,95659,98.300003,1608,1.7,1.5,4747,4.9000001,3093,3.2,2128,2.2,5819,6,1131,1.2,2369,2.4000001,1821,1.9,3757,3.9000001,3370,3.5,16507,17,21515,22.1,7780,8,12003,12.3,7797,8,2181,2.2,1249,1.3,44.799999,47,14395,10074,13791,2789,9681,26478,3141,8625,8762,5397,3828,90787,93.300003,539,0.60000002,1947,2,3994,4.0999999,95077,97.699997,972,1,909,0.89999998,209,0.2,100,0.1,65171,67,63694,65.5,305,0.30000001,141,0.1,228,0.2,297,0.30000001,41,0,465,0.5,24353,25,7743,8,92995,851,499,,134,23,19022,23.700001,45357,56.400002,209,0.30000001,1774,2.2,7259,9,6728,8.3999996,52401,66.300003,26665,33.700001,47668,33881,11812,3038,868,2370,370,71.230003,250,1830,130,85.160004,111,82,189,104.37,3763,1.1,1.1,8.1000004,5.5999999,2.9000001,5.5999999,9.6999998,4,11.3,3.2,1,2.3,8.1000004,5.5999999,0.60000002,11.3,11.3,7.3000002,31018,2409,28609,33000,21536,4.4000001,28373,-1.5,23983.453,7.7448702
E14000535,Ashfield,East Midlands,101914,50113,49.200001,51801,50.799999,100780,98.900002,1134,1.1,9.5,6159,6,3410,3.3,2150,2.0999999,5968,5.9000001,1308,1.3,2537,2.5,2441,2.4000001,5926,5.8000002,5840,5.6999998,20346,20,21221,20.799999,6793,6.6999998,10148,10,5480,5.4000001,1476,1.4,711,0.69999999,40.5,41,26744,13691,13628,3491,9621,12129,3615,3928,8206,8418,11078,98818,97,217,0.2,1547,1.5,1332,1.3,99832,98,819,0.80000001,845,0.80000001,290,0.30000001,128,0.1,60562,59.400002,59321,58.200001,190,0.2,168,0.2,10,0,304,0.30000001,164,0.2,405,0.40000001,34404,33.799999,6948,6.8000002,96612,518,645,,304,72,25207,30.4,40288,48.599998,199,0.2,2351,2.8,8459,10.2,6415,7.6999998,51231,62.599998,30554,37.400002,41850,35320,17042,6063,1639,6120,1490,71.610001,890,5330,230,85.839996,406,241,650,71.470001,7812,0.1,2.0999999,21.200001,9.5,3.2,5.3000002,7.4000001,4.1999998,3.2,1.9,0.5,1,5.3000002,4.1999998,2.0999999,6.4000001,21.200001,1.7,47229,10746,36484,36000,20964,3.9000001,24188,9.3999996,12936.447,4.4176106
