code,constituency,region,usual_residents,male_no,male_per,female_no,female_per,livinginhousehold_no,livinginhousehold_per,livingcommunally_no,livingcommunally_per,density,age0to4,age0to4_per,age5to7,age5to7_per,age8to9,age8to9_per,age10to14,age10to14_per,age15,age15_per,age16to17,age16to17_per,age18to19,age18to19_per,age20to24,age20to24_per,age25to29,age25to29_per,age30to44,age30to44_per,age45to59,age45to59_per,age60to64,age60to64_per,age65to74,age65to74_per,age75to84,age75to84_per,age85to89,age85to89_per,age90andover,age90andover_per,meanage,medianage,noqualifications,level1qualifications,level2qualifications,apprenticeship,level3qualifications,level4qualificationsandabove,otherqualifications,ab,c1,c2,de,birth_uk_no,birth_uk_per,birth_ireland_no,birth_ireland_per,birth_eu_no,birth_eu_per,birth_noneuno,birth_noneu_per,ethn_white_no,ethn_white_pre,ethn_mixed_no,ethn_mixed_pre,ethn_asian_no,ethn_asian_per,ethn_black_no,ethn_black_pre,ethn_other_no,ethn_other_pre,religion_total_no,religion_total_per,christian_no,christian_per,buddhist_no,buddhist_per,hindu_no,hindu_per,jewish_no,jewish_per,muslim_no,muslin_per,sikh_no,sikh_per,other_rel_no,other_rel_per,no_rel_no,no_rel_per,rel_dk_no,rel_dk_per,mainlang_english,notenglish_speakverywell,notenglish_speakwell,notenglish_speakwell_vwell,notenglish_notspeakwell,notenglish_notspeak,mar_single_no,mar_single_per,mar_married_no,mar_married_per,mar_civilpartnership_no,mar_civilpartnership_per,mar_separated_no,mar_separated_per,mar_divorced,mar_divorced_per,mar_widowed_no,mar_widowed_per,livingincouple_no,livingincouple_per,livingalone_no,livingalone_per,verygoodhealth,goodhealth,fairhealth,badhealth,verybadhealth,disabilitybenefit_anydisabling,incomesupport_peopleclaimingb,incomesupport_averageweeklypa,jsa_total,total_esa,incapacity_peopleclaimingbenef,incapacity_averageweeklypaymen,uc_notinemploymentmarch17,uc_inemploymentmarch17,uc_totalmarch17,housingbenefit_meanofweeklya,housingbenefitclaimantsnov1,agricultureforestryfishing,miningquarryingutilitiesb,manufacturingc_per,constructionf_per,motortradespartg_per,wholesalepartg_per,retailpartg_per,transportstorageincpostal,accommodationfoodservicesi,informationcommunicationj_,financialinsurancek_per,propertyl_per,professionalscientifictechn,businessadministrationsuppor,publicadministrationdefence,educationp_per,healthq_per,artsentertainmentrecreation,totalemployees,employees_pub,employees_priv,numberofjobs,medianannualgrosspay,annualpercentagechangemedia,meanannualgrosspay,annualpercentagechangemean,cmdi,cmdid
S14000001,Aberdeen North,Scotland,99654,49266,,50388,,94213,,5441,,20.459999,5358,,2579,,1519,,3837,,853,,1701,,5068,,13353,,10408,,20343,,16744,,4989,,6490,,4841,,1082,,489,,36.900002,33,19204,19542,14168,,7830,24764,,11616,23353,15284,17400,80820,,598,,8351,,9885,,89878,,710,,5122,,3169,,775,,42779,,38174,,423,,1283,,86,,2305,,83,,425,,49662,,7213,,,,,93390,2419,432,41484,,29250,,105,,2376,,7160,,5133,,39212,,40879,,52016,31724,11220,3638,1056,4460,900,72.220001,1410,4950,170,84.709999,530,267,793,72.389999,8985,0,9.3000002,3.3,2.3,1.2,1.7,10.7,3.3,6.6999998,1.3,0.40000001,0.80000001,8,5.3000002,9.3000002,6.6999998,25.4,3,74883,26156,48727,41000,22560,-2.4000001,26937,0.1,,
S14000002,Aberdeen South,Scotland,93197,46106,,47091,,90551,,2646,,11.49,4719,,2320,,1502,,4143,,884,,1877,,2525,,8210,,8873,,20374,,18715,,5034,,6829,,5237,,1317,,638,,39.5,38,13552,15422,10737,,7831,32087,,19850,21012,12400,10589,78553,,718,,5482,,8444,,86278,,655,,3578,,2135,,551,,43121,,39828,,393,,884,,63,,1616,,35,,302,,43363,,6713,,,,,88365,1600,315,32669,,33874,,96,,1932,,6035,,5023,,42722,,34339,,52742,28395,9018,2389,653,2730,470,70.959999,990,2950,100,86.370003,318,179,499,80.410004,4585,0.1,13.8,5.4000001,3.0999999,2.3,3.8,5.4000001,3.5,7.6999998,2.3,1.9,1.5,20,10.8,1.2,6.1999998,6.9000001,3.8,65026,3417,61609,33000,25679,-3.5,31404,-12,,
S14000003,Airdrie & Shotts,Scotland,85845,41698,,44147,,84914,,931,,3.6300001,5284,,2952,,1911,,5184,,1113,,2137,,2172,,5448,,5662,,18079,,17878,,5229,,7538,,4147,,773,,338,,38.900002,39,25002,17921,8912,,6819,10747,,6202,15562,15412,18793,83601,,136,,1098,,1010,,84505,,154,,989,,143,,54,,61131,,60217,,73,,53,,8,,612,,48,,120,,19522,,5192,,,,,81802,769,142,24435,,31379,,59,,2597,,5427,,5504,,38212,,30280,,43087,24197,11953,5019,1589,5660,1320,70.32,1000,5470,160,86.239998,638,283,922,59.209999,7748,0.1,1.8,7.9000001,10.5,2.5,8.8000002,7,12.3,4.4000001,2.0999999,0.89999998,0.40000001,2.5,12.3,6.0999999,3.5,15.8,2.5,28509,5541,22968,31000,22613,-1.9,24345,-1.1,,
S14000004,Angus,Scotland,86004,41802,,44202,,84893,,1111,,0.44,4479,,2637,,1768,,4921,,1046,,2190,,1980,,4666,,4853,,15863,,18377,,6232,,9012,,5798,,1494,,688,,42.200001,43,21183,18206,9188,,7600,14976,,7457,15306,16293,14789,81980,,170,,2169,,1685,,85030,,182,,575,,142,,75,,44833,,44150,,123,,62,,13,,238,,2,,245,,35393,,5778,,,,,82189,978,161,21469,,34798,,94,,2224,,6528,,6040,,42478,,27585,,43522,28190,10310,3052,930,4210,860,74.800003,990,3770,180,86.510002,381,186,566,66.18,6950,0.69999999,1.4,15.8,5.3000002,2.0999999,2.5,14,3.5,7.9000001,0.5,0.89999998,0.89999998,6.0999999,4.4000001,4.4000001,7,15.8,4.4000001,28548,7170,21378,27000,20717,4.4000001,23632,6.4000001,,
S14000005,Argyll & Bute,Scotland,88166,43140,,45026,,85694,,2472,,0.13,4107,,2623,,1689,,4919,,1097,,2199,,1802,,4438,,4164,,14857,,19744,,7191,,10761,,6243,,1534,,798,,43.900002,46,18234,16778,10946,,6496,21277,,10010,16053,14553,12134,83846,,327,,1775,,2218,,87067,,277,,565,,191,,66,,52859,,52037,,212,,52,,43,,186,,13,,316,,28252,,7055,,,,,85017,593,74,21448,,36820,,116,,2359,,6245,,6743,,43004,,28414,,45463,27123,11225,3373,982,4000,600,71.580002,660,3500,140,86.720001,269,128,402,72.610001,5996,2,1.7,4.9000001,5.5999999,1.3,2.5,8.3999996,4.9000001,14.1,0.80000001,0.60000002,1.7,3.5,7,11.3,8.3999996,16.9,4.9000001,35529,10544,24985,25000,,,24156,-0.30000001,,
S14000006,"Ayr, Carrick & Cumnock",Scotland,93308,44733,,48575,,92037,,1271,,0.56,4636,,2727,,1851,,5258,,1086,,2390,,2109,,5407,,4790,,16530,,20533,,6812,,10420,,6478,,1548,,733,,42.799999,44,25583,18197,10341,,7294,16335,,8737,15570,16064,17727,90556,,255,,1096,,1401,,92282,,203,,671,,97,,55,,53986,,53148,,129,,117,,38,,208,,82,,264,,32513,,6809,,,,,89662,738,133,23881,,37552,,93,,2410,,6630,,7184,,44771,,31739,,45622,28001,13317,4826,1542,5980,1260,71.580002,1200,5320,200,84.910004,573,298,872,68.779999,9137,0.2,0.69999999,4.5,4.5,2.0999999,1.8,11.9,3.7,11.9,0.60000002,1.3,1.3,3,2.7,7.5,9,26.9,6.6999998,33506,10845,22661,32000,21687,5.0999999,25833,3.5,,
S14000007,Banff & Buchan,Scotland,91325,45302,,46023,,90291,,1034,,0.57999998,5130,,2747,,1908,,5167,,1132,,2389,,2100,,5358,,5093,,17966,,19638,,6501,,9040,,5256,,1305,,595,,41.099998,42,23560,20852,9417,,7382,14030,,7241,14019,21730,15648,85474,,143,,4083,,1625,,90390,,174,,539,,151,,71,,45198,,44574,,107,,70,,23,,157,,19,,248,,38702,,7425,,,,,85563,2191,474,21453,,40000,,90,,2065,,5918,,5715,,47308,,26923,,45890,30263,11095,3113,964,4460,680,72.059998,730,3700,160,85.610001,381,176,557,74.25,5319,2.7,2.4000001,20.700001,5.9000001,2.4000001,3.7,10.4,5.1999998,7.4000001,0.40000001,0.69999999,0.5,5.9000001,5.1999998,5.1999998,7.4000001,11.8,3.7,33768,6354,27414,36000,18788,-9.1999998,22732,-8.6999998,,
S14000008,"Berwickshire, Roxburgh & Selkirk",Scotland,94683,45846,,48837,,93634,,1049,,0.25,4647,,2825,,1918,,5165,,1160,,2208,,2010,,4559,,4354,,16851,,21402,,7551,,10910,,6651,,1681,,791,,43.599998,46,23020,18455,10831,,6913,19749,,9857,15955,16527,16168,89850,,341,,2349,,2143,,93426,,263,,624,,260,,110,,51888,,51012,,229,,81,,43,,229,,16,,278,,35318,,7477,,,,,90864,928,139,21727,,40663,,153,,2364,,7330,,6731,,48764,,29165,,49452,29600,11456,3263,912,3910,690,74.389999,590,3800,140,89.839996,417,220,641,70.330002,6941,1,1.7,12.9,6.5,2.5999999,3.5999999,10,2.5999999,6.5,0.89999998,0.89999998,2,5,3.5999999,8.6000004,7.1999998,20.1,4.3000002,34837,10222,24615,34000,20040,-1.4,24288,3.5,,
S14000009,"Caithness, Sutherland & Easter Ross",Scotland,62229,30571,,31658,,61616,,613,,0.07,3332,,1907,,1329,,3574,,776,,1613,,1304,,3030,,3169,,10711,,14064,,4869,,7154,,4036,,930,,431,,42.700001,45,15298,13203,7069,,4907,10834,,5614,10003,12540,10475,59913,,121,,1150,,1045,,61730,,127,,286,,53,,33,,33509,,32941,,135,,21,,26,,95,,10,,281,,23843,,4877,,,,,59661,520,91,15182,,25589,,77,,1546,,4396,,4521,,30973,,19734,,31919,18948,8149,2456,757,3420,610,73.32,540,2740,110,86.769997,337,159,493,64.150002,4504,1.3,6.4000001,9.6000004,6.4000001,1.3,2.0999999,9.6000004,3.8,10.6,1.3,0.69999999,1.1,6.4000001,5.3000002,3,8.5,17,4.3000002,23498,6809,16689,20000,22694,10.6,25456,9.8000002,,
S14000010,Ayrshire Central,Scotland,88079,41881,,46198,,87123,,956,,3.5999999,4728,,2594,,1739,,5023,,1099,,2243,,2104,,4933,,4580,,16337,,19668,,6248,,9362,,5500,,1305,,616,,42,44,21586,17329,10082,,8193,15706,,9101,16703,13997,16082,85710,,227,,795,,1347,,86933,,181,,771,,112,,82,,51734,,50945,,118,,68,,42,,179,,203,,179,,30049,,6296,,,,,84560,600,94,22090,,35325,,111,,2417,,6572,,6381,,42108,,29848,,44511,26489,11626,4165,1288,5150,1090,71.75,1070,4660,170,84.860001,583,280,859,69.339996,8358,0.30000001,1.5,14.9,4.5,3,4.5,13.4,5.1999998,8.8999996,0.89999998,1,0.89999998,4.5,5.1999998,3.7,4.5,17.799999,3.7,33638,6878,26760,31000,22590,4.5999999,24063,-0.40000001,,
